City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Lazaro Cardenas,MX,75.24,few clouds,17.9583,-102.2,quinta antigua
10,San Ignacio,BZ,66.34,clear sky,17.1561,-89.0714,Rainforest Haven Inn
15,Mangrol,IN,85.42,clear sky,21.1167,70.1167,Hotel The Royal Honours
16,Camacha,PT,63.54,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
22,Rikitea,PF,76.33,overcast clouds,-23.1203,-134.9692,People ThankYou
24,Victoria,HK,76.17,clear sky,22.2855,114.1577,Mini Hotel Central
26,Carnarvon,AU,89.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
28,Esperance,AU,67.84,clear sky,-33.8667,121.9,Hospitality Esperance
31,Chicama,PE,67.06,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
32,Ixtapa,MX,69.76,few clouds,20.7,-105.2,Hotel Plaza Providencia
33,Georgetown,MY,89.55,few clouds,5.4112,100.3354,Cititel Penang
36,Avarua,CK,73.45,overcast clouds,-21.2078,-159.775,Paradise Inn
37,Geraldton,AU,86.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
38,Port Lincoln,AU,68.95,light rain,-34.7333,135.8667,Port Lincoln Hotel
39,Cape Town,ZA,70.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
40,Buraydah,SA,61.25,clear sky,26.326,43.975,فندق راحة السلام
42,Ribeira Grande,PT,66.87,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
43,Bredasdorp,ZA,66.27,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
44,Faanui,PF,80.89,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
46,Atuona,PF,77.67,scattered clouds,-9.8,-139.0333,Villa Enata
49,Puerto Ayora,EC,68.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
50,Los Llanos De Aridane,ES,64.15,clear sky,28.6585,-17.9182,Valle Aridane
51,Hermanus,ZA,70.9,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
53,Hobart,AU,71.11,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
56,Manokwari,ID,82.94,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
57,Hithadhoo,MV,81.93,overcast clouds,-0.6,73.0833,Scoop Guest House
59,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
60,Floresta,BR,79.41,scattered clouds,-8.6011,-38.5686,Hotel Floresta
61,Le Port,RE,84.88,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
62,Palang,BD,86.04,clear sky,23.2167,90.35,New ma moni alangkar bitan
63,Bambous Virieux,MU,82.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
65,Hualmay,PE,65.1,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
69,Arraial Do Cabo,BR,71.04,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
73,Mazamari,PE,70.39,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
75,Norsup,VU,76.87,light rain,-16.0667,167.3833,Nabelchel Bungalows
79,Gat,IL,70.39,few clouds,31.61,34.7642,OlusHome
80,Mar Del Plata,AR,66.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
84,New Norfolk,AU,70.75,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
85,Porto Santo,PT,66.31,broken clouds,33.072,-16.3415,Hotel Porto Santo & Spa
86,Kapaa,US,75.52,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
88,Resistencia,AR,70.11,light rain,-27.4606,-58.9839,Niyat Urban Hotel
89,Cidreira,BR,62.82,clear sky,-30.1811,-50.2056,Hotel Castelo
90,Hilo,US,82.27,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
92,Kavieng,PG,84.06,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
93,Mattru,SL,74.07,few clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
94,Busselton,AU,85.08,clear sky,-33.65,115.3333,Observatory Guest House
97,Mogadishu,SO,85.87,clear sky,2.0371,45.3438,Hotel Juba
98,Pundaguitan,PH,81.84,heavy intensity rain,6.3711,126.1689,Leonardo Family Beach House 1
99,Port Elizabeth,ZA,64.69,light rain,-33.918,25.5701,39 On Nile Guest House
100,Airai,TL,68.09,overcast clouds,-8.9266,125.4092,Juvinal Martin
102,Santiago Del Estero,AR,65.8,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
103,Palu,ID,81.03,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
104,Monrovia,LR,77.31,light rain,6.3005,-10.7969,Sunset Inn
105,Bariri,BR,71.94,scattered clouds,-22.0744,-48.7403,San Francisco Hotel
109,Porto Belo,BR,67.98,broken clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
110,Mount Isa,AU,76.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
111,Port Alfred,ZA,63.03,light rain,-33.5906,26.891,The Halyards Hotel
113,Butaritari,KI,81.79,few clouds,3.0707,172.7902,Isles Sunset Lodge
115,Coruripe,BR,75.92,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
117,Vila Velha,BR,69.94,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
118,Cienaga,CO,78.94,overcast clouds,11.007,-74.2476,The Journey Hostel
119,Gbadolite,CD,78.33,clear sky,4.2833,21.0167,Zenic
122,Zinder,NE,75.16,clear sky,13.8072,8.9881,Hotel de Ville
125,Bengkulu,ID,82.36,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
131,Pisco,PE,62.65,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
132,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
134,Hambantota,LK,82.74,light rain,6.1241,81.1185,Bungalow 63
135,Saint-Philippe,RE,84.47,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
137,Samarai,PG,84.79,scattered clouds,-10.6167,150.6667,Nuli Sapi
138,Wenling,CN,62.91,few clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
139,Flinders,AU,75.2,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
142,Careiro Da Varzea,BR,77.61,overcast clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
148,Saint-Leu,RE,83.95,few clouds,-21.15,55.2833,La Caz Oceane
149,Pampa,US,60.57,clear sky,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
152,Odweyne,SO,82.6,clear sky,9.4092,45.064,Eng Hiirey House
155,Acarau,BR,80.71,overcast clouds,-2.8856,-40.12,castelo pizzaria
156,Kirakira,SB,80.42,overcast clouds,-10.4544,161.9205,SanBiz Lodge
158,Port Blair,IN,83.8,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
163,Isangel,VU,78.91,heavy intensity rain,-19.55,169.2667,Tanna Lodge
165,Kudahuvadhoo,MV,82.47,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
166,Riyadh,SA,64.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
168,Inhambane,MZ,78.78,scattered clouds,-23.865,35.3833,Oceano
173,Inirida,CO,72.48,heavy intensity rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
175,Jalu,LY,69.85,scattered clouds,29.0331,21.5482,صاحبة الفخامة
176,Praya,CV,76.44,overcast clouds,14.9215,-23.5087,LT Aparthotel
178,Ponta Do Sol,PT,67.01,overcast clouds,32.6667,-17.1,Hotel do Campo
179,San Rafael,AR,71.58,clear sky,-34.6177,-68.3301,Hotel San Rafael
180,Mahebourg,MU,82.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
184,Saint-Pierre,RE,84.56,few clouds,-21.3393,55.4781,Lindsey Hôtel
186,Cooma,AU,64.17,overcast clouds,-36.2333,149.1333,High Country Motel
189,Padang,ID,87.85,overcast clouds,-0.9492,100.3543,Mercure Padang
