,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kaitangata,NZ,-46.2817,169.8464,57.09,71,86,4.32,overcast clouds
1,Lazaro Cardenas,MX,17.9583,-102.2,75.24,90,20,3.78,few clouds
2,Oktyabrskoye,RU,43.0645,44.7417,37.54,93,90,4.47,overcast clouds
3,Jamestown,US,42.097,-79.2353,29.79,82,1,1.99,clear sky
4,Narsaq,GL,60.9167,-46.05,28.62,95,100,11.56,snow
5,Ushuaia,AR,-54.8,-68.3,42.46,81,75,5.75,broken clouds
6,Saskylakh,RU,71.9167,114.0833,-17.03,89,31,12.15,scattered clouds
7,Hovd,MN,48.0056,91.6419,40.42,34,91,4.27,overcast clouds
8,Igarka,RU,67.4667,86.5833,15.28,92,100,15.17,light snow
9,Ilulissat,GL,69.2167,-51.1,37.42,65,20,19.57,few clouds
10,San Ignacio,BZ,17.1561,-89.0714,66.34,94,0,0.0,clear sky
11,Provideniya,RU,64.3833,-173.3,5.61,74,6,5.7,clear sky
12,Aklavik,CA,68.2191,-135.0107,-15.77,99,98,3.38,overcast clouds
13,Pangnirtung,CA,66.1451,-65.7125,24.75,96,100,10.02,snow
14,Turukhansk,RU,65.8167,87.9833,17.24,92,100,14.92,light snow
15,Mangrol,IN,21.1167,70.1167,85.42,43,4,6.91,clear sky
16,Camacha,PT,33.0833,-16.3333,63.54,68,75,14.97,broken clouds
17,Tasiilaq,GL,65.6145,-37.6368,24.96,75,100,4.63,light snow
18,Saint Anthony,US,45.0205,-93.218,51.58,56,1,7.0,clear sky
19,Uetze,DE,52.4651,10.2047,46.06,93,75,1.01,light intensity drizzle
20,Santa Lucia,ES,27.9117,-15.5407,58.32,87,20,6.91,few clouds
21,Norman Wells,CA,65.282,-126.8329,-32.76,68,1,3.44,clear sky
22,Rikitea,PF,-23.1203,-134.9692,76.33,84,91,16.4,overcast clouds
23,Elko,US,41.0002,-115.5012,32.02,67,3,5.01,clear sky
24,Victoria,HK,22.2855,114.1577,76.17,64,0,5.99,clear sky
25,Yellowknife,CA,62.456,-114.3525,-13.45,90,1,8.05,clear sky
26,Carnarvon,AU,-24.8667,113.6333,89.67,35,0,17.27,clear sky
27,Mataura,NZ,-46.1927,168.8643,57.11,63,100,4.88,light rain
28,Esperance,AU,-33.8667,121.9,67.84,57,0,12.19,clear sky
29,Dikson,RU,73.5069,80.5464,9.57,91,100,8.1,overcast clouds
30,Leningradskiy,RU,69.3833,178.4167,-17.54,81,100,3.0,overcast clouds
31,Chicama,PE,-7.8447,-79.1469,67.06,80,100,3.85,overcast clouds
32,Ixtapa,MX,20.7,-105.2,69.76,82,20,3.24,few clouds
33,Georgetown,MY,5.4112,100.3354,89.55,67,20,1.99,few clouds
34,Upernavik,GL,72.7868,-56.1549,12.85,65,100,6.87,overcast clouds
35,Hvolsvollur,IS,63.7533,-20.2243,32.81,74,4,9.86,clear sky
36,Avarua,CK,-21.2078,-159.775,73.45,73,100,5.75,overcast clouds
37,Geraldton,AU,-28.7667,114.6,86.41,25,0,25.32,clear sky
38,Port Lincoln,AU,-34.7333,135.8667,68.95,72,44,12.03,light rain
39,Cape Town,ZA,-33.9258,18.4232,70.12,56,0,20.71,clear sky
40,Buraydah,SA,26.326,43.975,61.25,37,0,10.2,clear sky
41,East London,ZA,-33.0153,27.9116,59.94,94,40,13.8,light rain
42,Ribeira Grande,PT,38.5167,-28.7,66.87,83,88,17.56,overcast clouds
43,Bredasdorp,ZA,-34.5322,20.0403,66.27,60,39,14.45,scattered clouds
44,Faanui,PF,-16.4833,-151.75,80.89,75,37,5.3,scattered clouds
45,Chokurdakh,RU,70.6333,147.9167,-21.5,98,100,3.31,overcast clouds
46,Atuona,PF,-9.8,-139.0333,77.67,77,30,12.62,scattered clouds
47,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,76,40,8.05,light snow
48,Castro,BR,-24.7911,-50.0119,59.81,92,100,9.1,overcast clouds
49,Puerto Ayora,EC,-0.7393,-90.3518,68.56,82,27,6.93,scattered clouds
50,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,81,0,8.01,clear sky
51,Hermanus,ZA,-34.4187,19.2345,70.9,66,13,13.2,few clouds
52,Lagos,NG,6.5833,3.75,77.32,82,100,0.49,overcast clouds
53,Hobart,AU,-42.8794,147.3294,71.11,68,75,12.66,broken clouds
54,Albany,US,42.6001,-73.9662,26.8,71,0,4.0,clear sky
55,Stepnogorsk,KZ,52.3544,71.8869,21.87,82,100,13.09,overcast clouds
56,Manokwari,ID,-0.8667,134.0833,82.94,75,100,8.08,overcast clouds
57,Hithadhoo,MV,-0.6,73.0833,81.93,77,98,19.28,overcast clouds
58,Songjianghe,CN,42.1859,127.479,20.23,54,2,10.13,clear sky
59,Vaini,TO,-21.2,-175.2,82.56,83,40,2.3,scattered clouds
60,Floresta,BR,-8.6011,-38.5686,79.41,52,50,8.3,scattered clouds
61,Le Port,RE,-20.9373,55.2919,84.88,77,16,13.98,few clouds
62,Palang,BD,23.2167,90.35,86.04,40,0,5.86,clear sky
63,Bambous Virieux,MU,-20.3428,57.7575,82.65,65,40,19.57,scattered clouds
64,Barrow,US,71.2906,-156.7887,-2.18,78,90,8.05,overcast clouds
65,Hualmay,PE,-11.0964,-77.6139,65.1,87,100,8.41,overcast clouds
66,Zalantun,CN,48.0,122.7167,17.49,57,24,18.39,few clouds
67,Sorland,NO,67.667,12.6934,35.46,61,100,22.57,overcast clouds
68,Samarkand,UZ,39.6542,66.9597,58.42,38,40,2.3,scattered clouds
69,Arraial Do Cabo,BR,-22.9661,-42.0278,71.04,87,100,4.18,overcast clouds
70,Iqaluit,CA,63.7506,-68.5145,24.53,68,75,23.0,broken clouds
71,Half Moon Bay,US,37.4636,-122.4286,57.38,82,75,4.61,broken clouds
72,Kununurra,AU,-15.7667,128.7333,100.38,37,21,5.75,few clouds
73,Mazamari,PE,-11.3258,-74.5308,70.39,95,100,1.1,overcast clouds
74,Palmer,US,42.1584,-72.3287,28.08,56,40,3.0,scattered clouds
75,Norsup,VU,-16.0667,167.3833,76.87,82,100,9.55,light rain
76,Aksarka,RU,66.5606,67.7975,-3.87,99,95,3.58,overcast clouds
77,Pacific Grove,US,36.6177,-121.9166,57.24,85,1,1.01,clear sky
78,Karakol,KG,42.4907,78.3936,37.58,45,0,0.65,clear sky
79,Gat,IL,31.61,34.7642,70.39,30,12,0.98,few clouds
80,Mar Del Plata,AR,-38.0023,-57.5575,66.09,52,0,7.0,clear sky
81,Nanortalik,GL,60.1432,-45.2371,36.73,95,100,13.62,light rain
82,Saint George,US,37.1041,-113.5841,55.35,40,1,4.61,clear sky
83,Beloha,MG,-25.1667,45.05,83.41,50,100,15.52,overcast clouds
84,New Norfolk,AU,-42.7826,147.0587,70.75,62,98,2.53,overcast clouds
85,Porto Santo,PT,33.072,-16.3415,66.31,68,75,14.97,broken clouds
86,Kapaa,US,22.0752,-159.319,75.52,59,40,9.22,scattered clouds
87,Karatau,KZ,43.1667,70.4667,53.71,42,16,1.43,few clouds
88,Resistencia,AR,-27.4606,-58.9839,70.11,88,0,2.3,light rain
89,Cidreira,BR,-30.1811,-50.2056,62.82,71,1,6.2,clear sky
90,Hilo,US,19.7297,-155.09,82.27,88,1,4.61,clear sky
91,Kyzyl-Suu,KG,42.3414,78.0056,38.84,46,0,3.11,clear sky
92,Kavieng,PG,-2.5744,150.7967,84.06,73,100,11.65,overcast clouds
93,Mattru,SL,7.6244,-11.8332,74.07,94,24,1.57,few clouds
94,Busselton,AU,-33.65,115.3333,85.08,42,0,13.35,clear sky
95,Xiaoshi,CN,41.2971,124.1209,30.22,52,9,3.2,clear sky
96,Hofn,IS,64.2539,-15.2082,36.39,60,2,35.03,clear sky
97,Mogadishu,SO,2.0371,45.3438,85.87,79,7,10.36,clear sky
98,Pundaguitan,PH,6.3711,126.1689,81.84,80,100,14.32,heavy intensity rain
99,Port Elizabeth,ZA,-33.918,25.5701,64.69,68,75,9.22,light rain
100,Airai,TL,-8.9266,125.4092,68.09,82,100,1.23,overcast clouds
101,Gornopravdinsk,RU,60.05,69.9,9.84,91,100,7.47,overcast clouds
102,Santiago Del Estero,AR,-27.7951,-64.2615,65.8,89,3,6.6,clear sky
103,Palu,ID,-0.8917,119.8707,81.03,93,99,2.62,overcast clouds
104,Monrovia,LR,6.3005,-10.7969,77.31,87,23,5.95,light rain
105,Bariri,BR,-22.0744,-48.7403,71.94,72,41,9.51,scattered clouds
106,Khatanga,RU,71.9667,102.5,-2.69,87,100,7.52,overcast clouds
107,Pevek,RU,69.7008,170.3133,-22.32,100,100,4.0,overcast clouds
108,Chute-Aux-Outardes,CA,49.1168,-68.399,28.71,74,20,11.5,few clouds
109,Porto Belo,BR,-27.1578,-48.5531,67.98,74,75,12.97,broken clouds
110,Mount Isa,AU,-20.7333,139.5,76.77,78,90,4.61,overcast clouds
111,Port Alfred,ZA,-33.5906,26.891,63.03,70,91,9.55,light rain
112,Seminole,US,28.7086,-81.2081,58.06,84,1,1.01,clear sky
113,Butaritari,KI,3.0707,172.7902,81.79,73,20,10.09,few clouds
114,Ust-Tsilma,RU,65.441,52.1498,5.7,98,65,3.47,broken clouds
115,Coruripe,BR,-10.1256,-36.1756,75.92,87,24,11.18,few clouds
116,Punta Arenas,CL,-53.15,-70.9167,41.11,81,40,11.5,scattered clouds
117,Vila Velha,BR,-20.3297,-40.2925,69.94,95,0,0.0,clear sky
118,Cienaga,CO,11.007,-74.2476,78.94,89,100,4.59,overcast clouds
119,Gbadolite,CD,4.2833,21.0167,78.33,53,0,4.54,clear sky
120,Severo-Kurilsk,RU,50.6789,156.125,37.78,96,100,24.02,light rain
121,Merauke,ID,-8.4667,140.3333,85.55,68,51,11.97,broken clouds
122,Zinder,NE,13.8072,8.9881,75.16,23,0,6.91,clear sky
123,Mandalgovi,MN,45.7625,106.2708,34.7,28,17,9.44,few clouds
124,Tuatapere,NZ,-46.1333,167.6833,57.92,74,100,7.14,overcast clouds
125,Bengkulu,ID,-3.8004,102.2655,82.36,65,100,1.41,overcast clouds
126,Nalut,LY,30.3333,10.85,62.58,53,5,2.33,clear sky
127,Qaanaaq,GL,77.484,-69.3632,-6.39,64,0,6.96,clear sky
128,Torbay,CA,47.6666,-52.7314,45.28,97,90,24.16,light intensity drizzle
129,Thompson,CA,55.7435,-97.8558,-12.84,70,1,10.36,clear sky
130,Coquimbo,CL,-29.9533,-71.3436,58.73,88,90,3.44,overcast clouds
131,Pisco,PE,-13.7,-76.2167,62.65,88,100,4.61,overcast clouds
132,Porto Novo,BJ,6.4965,2.6036,82.22,81,31,0.87,scattered clouds
133,Batsfjord,NO,70.6345,29.7185,23.22,73,75,2.3,snow
134,Hambantota,LK,6.1241,81.1185,82.74,89,20,9.22,light rain
135,Saint-Philippe,RE,-21.3585,55.7679,84.47,68,22,10.27,few clouds
136,Winnemucca,US,40.973,-117.7357,30.11,59,1,8.05,clear sky
137,Samarai,PG,-10.6167,150.6667,84.79,74,34,10.11,scattered clouds
138,Wenling,CN,28.3669,121.36,62.91,52,17,4.0,few clouds
139,Flinders,AU,-34.5833,150.8552,75.2,80,100,3.0,light rain
140,Angoram,PG,-4.0625,144.0661,81.25,86,100,5.77,moderate rain
141,Hearst,CA,49.6835,-83.6665,26.85,81,100,10.58,overcast clouds
142,Careiro Da Varzea,BR,-3.2003,-59.8119,77.61,84,100,0.89,overcast clouds
143,Dauriya,RU,49.9333,116.8667,7.99,63,0,7.05,clear sky
144,Yar-Sale,RU,66.8333,70.8333,8.13,95,100,6.02,overcast clouds
145,Adrar,MR,20.5022,-10.0711,71.28,41,100,9.55,overcast clouds
146,Flers,FR,48.7372,-0.5747,34.05,98,23,4.47,few clouds
147,Vestmanna,FO,62.1564,-7.1664,36.52,87,75,14.97,broken clouds
148,Saint-Leu,RE,-21.15,55.2833,83.95,77,18,5.39,few clouds
149,Pampa,US,35.5362,-100.9599,60.57,44,1,17.27,clear sky
150,Orlik,RU,52.5178,99.825,18.14,90,98,2.15,overcast clouds
151,Bilibino,RU,68.0546,166.4372,-25.35,95,23,3.36,few clouds
152,Odweyne,SO,9.4092,45.064,82.6,18,8,14.25,clear sky
153,Beidao,CN,34.5686,105.8933,52.93,30,0,1.9,clear sky
154,Usinsk,RU,65.9939,57.5281,16.72,94,100,18.45,light snow
155,Acarau,BR,-2.8856,-40.12,80.71,75,100,12.59,overcast clouds
156,Kirakira,SB,-10.4544,161.9205,80.42,82,100,9.66,overcast clouds
157,Bluff,NZ,-46.6,168.3333,56.89,74,100,14.97,moderate rain
158,Port Blair,IN,11.6667,92.75,83.8,78,100,16.69,overcast clouds
159,Kiruna,SE,67.8557,20.2251,18.52,79,24,9.22,few clouds
160,Lasa,IT,46.6166,10.7002,34.68,52,2,0.81,clear sky
161,Tigil,RU,57.8,158.6667,26.06,73,63,11.9,broken clouds
162,Atasu,KZ,48.6814,71.6433,35.62,100,100,15.61,overcast clouds
163,Isangel,VU,-19.55,169.2667,78.91,94,90,0.0,heavy intensity rain
164,Kruisfontein,ZA,-34.0033,24.7314,59.88,68,100,5.19,light rain
165,Kudahuvadhoo,MV,2.6708,72.8944,82.47,73,100,16.96,overcast clouds
166,Riyadh,SA,24.6877,46.7219,64.54,34,0,8.1,clear sky
167,Bethel,US,41.3712,-73.414,31.19,67,0,3.0,clear sky
168,Inhambane,MZ,-23.865,35.3833,78.78,65,40,14.0,scattered clouds
169,Lebu,CL,-37.6167,-73.65,53.83,96,65,4.52,broken clouds
170,Maniitsoq,GL,65.4167,-52.9,32.94,98,100,39.86,snow
171,Tanout,NE,14.9709,8.8879,76.39,18,0,9.06,clear sky
172,Bonavista,CA,48.6499,-53.1147,45.12,96,100,25.61,overcast clouds
173,Inirida,CO,3.8653,-67.9239,72.48,99,100,1.57,heavy intensity rain
174,Baldone,LV,56.7428,24.3944,37.15,95,84,10.49,broken clouds
175,Jalu,LY,29.0331,21.5482,69.85,28,27,2.98,scattered clouds
176,Praya,CV,14.9215,-23.5087,76.44,80,100,8.16,overcast clouds
177,Luderitz,NA,-26.6481,15.1594,71.37,53,10,19.26,clear sky
178,Ponta Do Sol,PT,32.6667,-17.1,67.01,83,100,11.07,overcast clouds
179,San Rafael,AR,-34.6177,-68.3301,71.58,57,2,8.68,clear sky
180,Mahebourg,MU,-20.4081,57.7,82.69,65,40,19.57,scattered clouds
181,Jiuquan,CN,39.7432,98.5174,44.94,20,7,1.92,clear sky
182,Te Anau,NZ,-45.4167,167.7167,59.05,72,100,2.77,moderate rain
183,Macamic,CA,48.7502,-78.9996,16.03,80,85,12.19,overcast clouds
184,Saint-Pierre,RE,-21.3393,55.4781,84.56,67,20,10.36,few clouds
185,Honningsvag,NO,70.9821,25.9704,22.75,74,20,2.3,few clouds
186,Cooma,AU,-36.2333,149.1333,64.17,88,90,3.44,overcast clouds
187,Smithers,CA,54.7804,-127.1743,23.32,100,75,2.3,broken clouds
188,Bulancak,TR,40.9372,38.2291,54.28,92,100,11.56,light rain
189,Padang,ID,-0.9492,100.3543,87.85,69,100,4.56,overcast clouds
190,Banikoara,BJ,11.2985,2.4386,76.06,26,75,3.49,broken clouds
191,Kavaratti,IN,10.5669,72.642,78.58,86,100,13.62,overcast clouds
192,Barcelos,PT,41.5388,-8.6151,49.28,88,14,3.83,few clouds
193,Ternate,ID,0.8,127.4,84.78,71,100,6.15,light rain
194,Mao,ES,39.8885,4.2658,54.16,94,40,5.75,scattered clouds
195,Nikolskoye,RU,59.7035,30.7861,37.02,97,100,13.85,light snow
196,Amapa,BR,1.0,-52.0,70.07,99,100,1.41,overcast clouds
197,Manzhouli,CN,49.6,117.4333,9.34,64,0,7.23,clear sky
198,Mehamn,NO,71.0357,27.8492,23.18,67,0,11.5,light snow
